bus_name,address,city,state,tax_year,revenue,explanation
ANCHORAGE GLACIER PILOTS INC,435 W 10TH AVE SUITE A,ANCHORAGE,AK,2012,479844,
BENEVOLENT & PROTECTIVE ORDER OF THE ELKS #1551,1003 PIONEER ROAD,FAIRBANKS,AK,2012,357526,ON TWO OCCASIONS THE LODGE HAD FUEL OIL STOLEN. THE THEFTS WERE REPORTED TO THE INSURANCE COMPANY AND POLICE REPORTS WERE FILED. THE LODGE WAS REIMBURSED BY THE INSURANCE COMPANY.
SOUTHEAST ALASKA INDIAN CULTURAL CNTR,106 METLAKATLA STREET,SITKA,AK,2010,108313,EXECUTIVE DIRECTOR MADE UNAUTHORIZED PURCHASES WITH A DEBIT CARD FROM THE ORGANIZATION'S BANK ACCOUNT
YUKON RIVER INTER-TRIBAL WATERSHED COUNCIL,323 2ND STREET SUITE SUITE A,FAIRBANKS,AK,2013,1633420,BOARD MEMBERS SUSPECTED A DIVERSION OF ASSETS AND BROUGHT IN A CONSULTANT TO INVESTIGATE. CURRENTLY THE ORGANIZATION IS GOING THROUGH THEIR ANNUAL AUDIT AND THE AMOUNT OF THE DIVERSION OF ASSETS IS YET TO BE DETERMINED.
ALABAMA CENTRAL CREDIT UNION,3601 4TH AVENUE SOUTH,BIRMINGHAM,AL,2010,10299849,"EMBEZZLEMENT OF FUNDS OF APPROXIMATELY $312,000 WAS DISCOVERED BY A CREDIT UNION EMPLOYEE AND REPORTED. THE EMBEZZLEMENT FROM THE CREDIT UNION WAS THROUGH THE USE OF FICTITIOUS COMPANIES THAT BILLED THE CREDIT UNION FOR SERVICES THAT WERE NEVER PROVIDED. THE CREDIT UNION BOARD HAS REMOVED EMPLOYEES INVOLVED IN THE EMBEZZLEMENT AND IS PURSUING LEGAL ACTION AGAINST THEM. ONE PERSON HAS ALREADY BEEN CONVICTED. THE CREDIT UNION BOARD HAS SINCE IMPLEMENTED NEW MANAGEMENT. ADDITIONALLY MORE STRINGENT CONTROLS HAVE BEEN PUT IN PLACE FOR THE PROCESSING OF INVOICES AND THEIR RESPECTIVE PAYMENTS. TO RECOUP THE LOST FUNDS THE CREDIT UNION IS VIGOROUSLY PURSUING A BOND CLAIM."
ALABAMA CHRISTIAN ACADEMY,4700 WARES FERRY ROAD,MONTGOMERY,AL,2015,6504244,"DURING THE YEAR ENDED JUNE 30, 2016, ACA BECAME AWARE OF A DIVERSION OF CASH OF APPROXIMATELY 554,000. THE EMPLOYEE INVOLVED HAS BEEN ARRESTED. APPROXIMATELY 464,000 WAS RETURNED BY THE ORGANIZATION WHO RECEIVED IT AND THE REMIANING AMOUNTS WERE RECOVERED THROUGH INSURANCE."
BOYS AND GIRLS CLUB OF THE WIREGRASS INC,P O BOX 1231,DOTHAN,AL,2011,594093,"THE ORGANIZATION BECAME AWARE OF A DIVERSION OF ASSETS DUE TO EMPLOYEE THEFT. 4,060 THEFT LOSS WAS EXPENSED IN THE CURRENT YEAR. NOT INCLUDED IN THIS AMOUNT IS AN ESTIMATED TOTAL OF 3,636 IN CASH RECEIVED FOR PROGRAM FEES FOR THE CURRENT YEAR THAT HAS NOT BEEN ACCOUNTED FOR. LEGAL ACTION HAS BEEN TAKEN AGAINST THE INDIVIDUAL INVOLVED AND RECOVERY EFFORTS ARE IN PROGRESS."
CAPSTONE HEALTH SERVICES FOUNDATION PC,PO BOX 870326,TUSCALOOSA,AL,2009,11397909,"MICHAEL GREEN, DIRECTOR OF CODING AND COMPLIANCE/BUSINESS OFFICE OPERATIONS WAS INTERCEPTEING RANDOM RECEPTIONISTS DAILY PAYMENTS AUDIT TRAIL REPORTS ALONG WITH THEIR COLLECTIONS. THE ACCUSED WAS STEALING CASH PAYMENTS AND COVERING UP HIS THEFT. THROUGH THE BILLING SYSTEM, GREENE WAS TAKING CASH, DELETING THE RECEPTIONIST PAYMENT, RE-ENTERING THE PAYMENT UNDER HIS ID SO THAT THE PATIENT ACCOUNT WAS CURRENT AND CORRECT, HE WOULD THEN ENTER A NEGATIVE CASH PAYMENT TO A FICITIOUS ACCOUNT EFFECTIVELY WIPING OUT THE CASH RECEIPT. MR. GREEN WOULD THEN ENTER A CHARGE ADJUSTMENT, OR BAD DEBT WRITE OFF, ERASING THE NEGATIVE CASH PAYMENT BALANCE ON THE FICITIOUS ACCOUNT. HE WOULD REPRINT THE RECEPTIONIST'S AUDIT TRAIL, NO LONGER SHOWING THE PAYMENT COLLECTED. THE TOTAL THEFT WAS APPROXIMATELY $69,000. REVISION THUS FAR TO INTERNAL CONTROLS: RECEPTIONISTS ARE NOW PRINTING TWO AUDIT TRAILS, KEEPING ONE FOR THEIR RECORDS AND SIGNING THE AUDIT TRAIL SUBMITTED TO MINIMIZE THE RISK OF SOMEONE REPLACING IT. THE LOCKBOX KEYS ARE NOW SECURED, THE BUSINESS MANAGER IS NO LONGER ALLOWED A KEY TO THIS LOCKBOX. COMPLETE INTERNAL CONTROLS AND SEGREGATION OF DUTIES ARE UNDER REVIEW. ON DECEMBER 9, 2010, A RECEPTIONIST CAME FORWARD NOTING IRREGULARITIES. SHE REALIZED SOME OF HER PAYMENT POSTINGS WERE BEING DELETED AND RE-ENTERED UNDER MR. GREENE'S ID. THE DIRECTOR OF FINANCE BEGAN AN IMMEDIATE REVIEW, AND VERY SHORTLY THE SAME DAY UNCOVERED THE THEFT PROCESS. ALL APPROPRIATE PARTIES WERE NOTIFIED, HUMAN RESOURCES, LEGAL, SENIOR MANAGEMENT. FURTHER, AS SOON AS THE RISK WAS IDENTIFIED, MR. GREEN WAS QUESTIONED BY TWO INDIVIDUALS, THE DIRECTOR OF FINANCE AND THE ASSOCIATE DEAN FOR CLINICAL AFFAIRS. HE ADMITTED GUILT AND WAS TERMINATED IMMEDIATELY AND ESCORTED OUT OF THE BUILDING. POLICE AND OTHER APPROPRIATE LEADERSHIP WERE NOTIFIED. A CRIMINAL INVESTIGATION IS UNDERWAY, FULL PROSECUTION AND RESTITUTION IS BEING PURSUED."
COMUNIDAD CONNECT,PO BOX 1687,MADISON,AL,2015,519984,"THE ORGANIZATION BECAME AWARE OF EMBEZZLEMENT ON THE PART OF THE DIRECTOR OF THEIR NICARAGUAN PROGRAMS SUBCONTRACTOR. THE AMOUNT WAS $13,504 EXTENDING INTO LATE 2015. THE RESPONSIBLE PERSON WAS FIRED FROM HIS POST, AS WAS THE BOOKKEEPER OF THE SUBCONTRACTOR ENTITY. NEW FINANCIAL CONTROLS WERE INSTITUTED BY THE NICARAGUAN'S ENTITY'S NEW DIRECTOR AND BOOKKEEPER, INCLUDING STRONGER INTERNAL CONTROLS, SEPARATION OF DUTIES, AND REGULAR AUDITS. THE EMBEZZLED FUNDS ARE BEING PAID BACK OVER TIME BY THE RESPONSIBLE PARTY BASED ON A LEGAL ACCORD SIGNED IN NICARAGUA."
EPSILON LAMBDA OF GAMMA PHI BETA HOUSE CORPORATION,1831 UNIVERSITY STATION MSC 870402,TUSCALOOSA,AL,2014,3123859,"GAMMA PHI BETA SORORITY, INC. NOTIFIED THE EPSILON LAMBDA HOUSE CORPORATION OF GAMMA PHI BETA SORORITY, INC. OF AN EMBEZZLEMENT ON JUNE 29,2015. THE FUNDS WERE DIVERTED THROUGH FRAUDULENT INVOICES. THE ACCUSED WAS CHARGED WITH WIRE FRAUD, BANK FRAUD AND MONEY LAUNDERING AND THE CASE REMAINS OPEN. AN INSURANCE CLAIM WAS FILED AND THE ACCUSED WAS TERMINATED FROM THE BOARD OF DIRECTORS. THE REMAINING ELECTED BOARD OF DIRECTORS EITHER RESIGNED OR WERE REMOVED FROM THEIR POSITIONS ON THE BOARD."
HOMEBUILDERS ASSOC OF GREATER CALHOUN COUNTY,PO BOX 2549,ANNISTON,AL,2013,96173,A FORMER EMPLOYEE IS UNDER INVESTIGATION FOR THEFT. THE CASE IS STILL PENDING.
HUNTSVILLE REHABILITATION FOUNDATION INC,2939 JOHNSON ROAD,HUNTSVILLE,AL,2012,40658667,"AN EMPLOYEE OF THE ORGANIZATION MISAPPROPRIATED $1,268,705 DURING THE PERIOD 2008 THROUGH 2013. THIS CASE IS CURRENTLY UNDER INVESTIGATION BY CRIMINAL INVESTIGATION DIVISION OF THE IRS AGENT, MATTHEW C. AUSTIN OF THE HUNTSVILLE ALABAMA OFFICE."
THE PATHFINDERS INC,3104 IVY AVENUE SW,HUNTSVILLE,AL,2012,502958,"AN OFFICE MANAGER STOLE A LARGE SUM OF MONEY. WHEN THE THEFT WAS DISCOVERED, CHANGES WERE MADE TO STRENGTHEN INTERNAL CONTROL. FIRST , THE EXECUTIVE DIRECTORS DUTIES WERE SPLIT INTO TWO JOBS. THE PERSON FILLING THE POSITION OF EXECUTIVE DIRECTOR BECAME THE CLINICAL DIRECTOR. A NEW EXECUTIVE DIRECTOR WAS SELECTED, A PERSON WITH EXPERIENCE IN NON-PROFIT OPERATIONS. BANK ACCOUNTS WERE CLOSED AND NEW ACCOUNTS OPENED. NEW PROCEDURES IN PLACE INCLUDE THE APPROVAL OF ALL EXPENSES BY THE EXECUTIVE DIRECTOR BEFORE PAYMENT. ANY CHECK CUT REQUIRES TWO SIGNATURES ON THE CHECK. DEPOSITS ARE MADE BY SOMEONE NOT RECONCILING THE BANK STATEMENT."
THE PATHFINDERS INC,3104 IVY AVENUE SW,HUNTSVILLE,AL,2013,327810,"PATHFINDERS, INC. WAS VICTIM OF THEFT BY AN EMPLOYEE"
WEST LAWRENCE WATER COOPERATIVE,PO BOX 8,MT HOPE,AL,2013,1447690,"THE ORGANIZATION DISCOVERED AN EMPLOYEE THEFT DURING THECURRENT FISCAL YEAR WHICH HAD SPANNED OVER A 6 YEAR PERIODTHE TOTAL AMOUNT OF THE THEFT FOR THE CURRENT FISCAL YEAR WAS $110,500."
WOODWARD GOLF & COUNTRY CLUB,2141 WHEEL DRIVE,BESSEMER,AL,2015,590575,"SEVERAL PIECES OF EQUIPMENT WERE STOLEN ON SEPTEMBER 9, 2015. AN INSURANCE CLAIM WAS FILED AND INSURANCE PROCEEDS WERE RECEIVED TO COVER THE REPLACEMENT COST OF NEW EQUIPMENT."
BOYS AND GIRLS CLUB OF MCGEHEE,PO BOX 495,MCGEHEE,AR,2014,166274,"ON JULY 6, 2015, THE FORMER EXECUTIVE DIRECTOR WAS CHARGED WITH THEFT OF FUNDS FROM THE ORGANIZATION. THE TOTAL AMOUNT OF RESTITUTION IS $9547, WITH INSTALLMENTS OF $135 PER MONTH STARTING JULY 30, 2015."
BRYANT SOCCER CLUB,PO BOX 442,BRYANT,AR,2011,125253,50647 DISCREPANCY IN PREVIOUSLY REPORTED CASH BALANCE AND CASH BALANCE AS COMPUTED BY THE SUCCESSOR TREASURER BOARD OF DIRECTOR ACTION IN RESPONSE TO THIS RECENTLY DISCOVERED DISCREPANCY IS NOT YET DETERMINED
LONOKE COUNTY SAFE HAVEN INC,PO BOX 414,CABOT,AR,2014,231493,THERE WAS UNRECONCILED DIFFERENCES IN THE PAYROLL AND CASH ACCOUNT BY THE PRIOR ADMINISTRATION.
PPF LOCAL UNION 155,1223 WEST MARKHAM STREET,LITTLE ROCK,AR,2015,1779672,THE LOCAL HAS IDENTIFIED A MISAPPROPRIATION OF CASH OVER A NUMBER OF YEARS. THE INVESTIGATION IS ONGOING AND THE AMOUNT OF THE LOSS IS NOT AVAILABLE AT THE TIME OF FILING. THE LOCAL IS IN THE PROCESS OF NOTIFYING THE FIDELITY BOND INSURER TO BEGIN THE PROCESS OF FILING A CLAIM TO RECUPERATE THE LOSS.
